Título,Autor,Año,Grado
Preservando el significado :hacia una teoría sobre la identidaddesignificadodeconstantes lógicas a travésdedistintos sistemas formales,"López Munive, Juan Miguel",2020,Licenciatura en Filosofía
Deterioro cognitivo asociado al pobre apego a tratamiento y consumo perjudicialdesustancias en pacientes con trastorno bipolar,"López Mendoza, Victoria Margarita",2020,Especialidad en Medicina (Psiquiatría)
Reacciones radicalarias a partirdexantatos y un acoplamiento entre diazoésteres y ácidos borónicos ambos mediados por luz visible,"López Mendoza, Pedro",2020,Doctorado en Ciencias Químicas
"La resignificacióndela joyería en el espacio y el cuerpo social a partir del happening :produccióndela serie: acciones para la construcción simbólica colectiva del cuerpo social, a travésdela joyería","López Morales, Paulina",2020,Maestría en Artes Visuales
Razón y objetividad :una lectura epistemológicadela arqueologíadeFoucault,"López Mendoza, Estefanía",2020,Licenciatura en Filosofía
Experiencia del Instituto NacionaldePediatría en paciente con dermatomiositis juvenil en el periodode2008 al 2018,"López Ponce, Gerardo",2020,Especialidad en Medicina (Pediatría)
"Prospeccióndehongos patógenos del suelo y sus controladores biológicos en cultivosdemaíz, café y suelodebosque en San Miguel Reyes, Putla, Oaxaca","López Ortiz, Gonzalo",2020,Licenciatura en Ingeniería Agrícola
Palabras que le costaron la vida :atenuacióndela imagen negativa en entrevistas a victimarios,"López Orozco, Elicia",2020,Maestría en Lingüística Hispánica
Porcentajedeintegridad acrosomal y viabilidad espermática en semendecerdo con tiempos específicosdeprocesamiento,"López Niño, Itzcoatl Adríán",2020,Licenciatura en Medicina Veterinaria y Zootecnia
"Sentidos subjetivosdeemancipación en mujeres, un estudio generacional a través del método constructivo-interpretativo","López Olivares, María Fernanda",2020,Licenciatura en Psicología
Mediosdereacción supramoleculares en la hidrólisisdeésteres catalizada por complejos metal-oximato,"López Pacheco, Alejandra Pilar",2020,Maestría en Ciencias Químicas
La ciudad industrial :estudio histórico-territorialdela estructura metropolitana en el ValledeMéxico,"López Nicolás, Michelle",2020,Maestría en Urbanismo
Indicaciones y contraindicaciones del usodealineadores transparentes,"López Pineda, Rosa Areli",2020,Licenciatura en Cirujano Dentista
Playtime :Centro UrbanodeOcio,"López Olguín, Alonso",2020,Licenciatura en Arquitectura
Ecografía pulmonar en esclerosis sistémica en pacientes pediátricos :correlación con tomografía computarizadadealta resolución y pruebasdefunción pulmonar en Centro Médico Nacional la Raza,"López Nogueda, Mariel Anahí",2020,Especialidad en Medicina (Reumatología Pediátrica)
Enseñanza contingente en la capacitación laboraldeadultos con discapacidad intelectual,"López Pulido, Nelida Karina",2020,Licenciatura en Psicología
Ética y educación :análisisdela integridad académica en el posgradodela FacultaddeInformáticadela Universidad AutónomadeQuerétaro,"López Quiroz, Edith Guadalupe",2020,Licenciatura en Pedagogía
Cambio conceptual y desarrollo cognitivo en filosofíadela ciencia,"López Retana, Erik Alejandro",2020,Maestría en Filosofíadela Ciencia
La construccióndela identidaddeaprendiz en estudiantesdebachillerato a partirdesus fondosdeidentidad,"López Ramírez, José Luis",2020,Maestría en Docencia para la Educación Media Superior (Psicología)
Estudiodecaso recién nacido pretérmino con déficit en los requisitos universalesdeautocuidado secundario a hemorragia intraventricular grado IV,"López Ramos, Daniela Teresa",2020,Especialidad en Enfermería del Neonato
Factores asociados a tuberculosis en pacientes post operadosdetrasplante renal del HospitaldeEspecialidades CMN La Raza durante 2017-2019,"López Reyna, Joa Carlos Brayan",2020,Especialidad en Medicina (Epidemiología)
"Frecuenciadealteraciones bucodentales en pacientes pediátricos con diagnósticodeleucemia en el Hospital RegionaldeAlta EspecialidaddeIxtapaluca, 2019","López Reyes, Rosa Itzel",2020,Licenciatura en Cirujano Dentista
Caracterizacióndela displasia broncopulmonar en recién nacidos prematuros egresados del DepartamentodeNeonatología del Instituto NacionaldePediatría en el periododeenerode2012 a diciembrede2017,"López Rivera, Allison Zosaning",2020,Especialidad en Medicina (Neonatología)
Elaboracióndeargonautas :juego lúdico-didáctico para la enseñanzadelas culturasdehabla portuguesa,"López Rizo, María Guadalupe",2020,Licenciatura en Diseño Gráfico
Simulación y análisisdeun algoritmodeeleccióndelíder tolerante a fallas en un sistema distribuido empleando canales ADD,"López Rodríguez, Carlos",2020,Maestría en Ciencia e Ingenieríadela Computación
Poemas herméticosdela post-shoahdeNelly Sachs y Paul Celan como un aporte a la memoria cultural,"López Siemers, Jonathan",2020,Licenciatura en Lengua y Literaturas Modernas Alemanas
Estudio comparativo del niveldeconocimiento farmacológico en alumnosdela Clínica Cuautitlán,"López Segovia, Andrea",2020,Licenciatura en Cirujano Dentista
Sistemadeadaptación térmica en zonas áridas,"López Romero, Gabriel Iván",2020,Maestría en Arquitectura
La Universidad Latinoamericana en la geopolítica del conocimiento :estudio sobre la transformacióndelos espaciosdeinvestigación,"López Rodríguez, Ramón Antonio",2020,Doctorado en Estudios Latinoamericanos
Análisisdelas revoluciones tecnológicas y su impacto en la economía :el casodela industria eléctrica en México,"López Robles, Rodrigo",2020,Licenciatura en Economía
Formacióndebandas en dirección del gradiente en sistemas con micelas tubulares gigantes e inestabilidades elástico - inerciales,"López Santiago, Ricky Frank",2020,Maestría en Ciencia e IngenieríadeMateriales
Estudio del efectodela geometríadela probeta en la hidrodinámica y la extraccióndecalor durante la etapadecapadevapor para análisisdecurvasdeenfriamiento,"López Sosa, Francisco",2020,Maestría en Ciencia e IngenieríadeMateriales
Caracterizacióndela síntesisdeβ-alanina en los Rhizobiales,"López Sámano, Mariana",2020,Doctorado en Ciencias Biomédicas
Dela lucha laboral a la lucha política :una mirada a las mujeres obreras tabacaleras en la CiudaddeMéxico en el porfiriato,"López Salais, Nancy Lizbeth",2020,Licenciatura en Historia
Análisis del mecanismoderegulacióndela histidína-cinasa ArcBdeHaemophilus influenzae,"López Valdez, Mariana",2020,Licenciatura en Biología
"Entre la vainilla y el petróleo, tenencia, industria petrolera y reparto agrario en las tierrasdePapantla :el casodela hacienda petrolera Palma Sola, 1880-1936","López Vallejo, Francisco Javier",2020,Licenciatura en Historia
Repercusiones biopsicosocialesdela hemofilia en la familia diferencias entre padres y madres =Biopsychosocial repercussions of Hemophilia in the family differences between male and female parents,"Lopez Trejo, Luis Eduardo",2020,Licenciatura en Psicología
Vehículo personal para entregasdeúltima milla y su sistema antirrobo,"López Torres, María Esther",2020,Maestría en Ingeniería Mecánica
Urticaria crónica en niños :revisión sistemática,"López Valentín, Enrique",2020,Especialidad en Medicina (Alergia e Inmunología Clínica Pediátrica)
La tolerancia al daño por la inhalacióndevanadio en el epitelio pulmonar; diferencias por sexo en un modelo murino,"López-Valdez, Nelly",2020,Doctorado en Ciencias Biológicas
Vulneración al principiodejusticia pronta y expedita ante la excesiva interposición del recursodequeja en el juiciodeamparo indirecto,"López Tlatenco, José Luis",2020,Licenciatura en Derecho
"Efecto del eritritol en la colonizacióndeBrucella melitensis (Rev 1 eryCD), en el tracto reproductordemachos cabrios","López Vásquez, Isauro Alejandro",2020,Maestría en Cienciasdela Producción ydela Salud Animal
Comunicación para la reducción del riesgodedesastres :evaluacióndelas prácticas periodísticas digitales a partir del sismo del 19deseptiembrede2017,"López Valdez, Nallely",2020,Maestría en Comunicación
Recanalización a mediano plazodela vena safena mayor posterior a safenoablación por laser o safenectomía abierta,"López Valdivia, Jorge Eduardo",2020,Especialidad en Medicina (Angiología y Cirugía Vascular)
Ensayodeunión tipo FRET in vivo entre un dominiodeunión a nucleótidos cíclicos y AMPc,"López Velarde, Columba Alejandra",2020,Licenciatura en Biología
"Impactodela simulación en abordajes quirúrgicos practicadas en modelo biológico como estrategia educativa en médicos residentesdeortopedia del HospitaldeTraumatología, Dr. Victoriodela Fuente Narváez. Subestrato :impactodela simulación en abordajes quirúrgicosdehombro, húmero y codo practicados en modelo biológico como estrategia educativa en médicos residentesdeortopedia del HospitaldeTraumatología, Dr. Victoriodela Fuente Narváez","López Vega, Juan Alberto",2020,Especialidad en Medicina (Ortopedia)
Variación en secuencias vocálicas en el españoldela CiudaddeMéxico,"López Villaseñor, Carlos Alfredo",2020,Maestría en Lingüística Hispánica
Descripción epidemiológica del carcinomadecélulas renales en el Hospital JuárezdeMéxico en el periodo 2013-2019,"López Venegas, Abraham Alberto",2020,Especialidad en Medicina (Urología)
Experiencia clínica y quirúrgicadepacientes con enfermedad por modelantes en el serviciodecirugía plástica y reconstructiva,"López Velasco, Anel",2020,Especialidad en Medicina (Cirugía Plástica y Reconstructiva)
La biblioteca del Museo NacionaldeMéxico y la práctica del coleccionismodelibros (1825-1867),"López Zahar, Jocelyn Guadalupe",2020,Licenciatura en Historia
Evaluación microscópicadela corrosión presentada en arcos ortodónticos tras su inmersión en diferentes bebidas comerciales,"Loranca Moscosa, Nora Gabriela",2020,Licenciatura en Cirujano Dentista
Análisis del Foro Social Mundial desde algunos elementos conceptualesdela teoría marxistadela ideologíadeLouis Althusser,"López Vázquez, Angélica",2020,Licenciatura en Sociología
Insuficiencia venosa crónica superficial periferica asociada a bipedestación y sedestación prolongada en supervisores y administradoresdeuna empresa productoradebebidas,"López Velázquez, Martha Aury",2020,Especialidad en Salud en el Trabajo
La Auditoría Superiordela CiudaddeMéxico como autoridad substanciadora en el procedimiento administrativo sancionador al amparo del Sistema Nacional Anticorrupción,"Loza Monroy, Miriam Leonor",2020,Especialidad en SistemadeResponsabilidaddeServidores Públicos
Funcionalidad del subsistema conyugal y disfunción eréctil en personas diabéticas y no diabéticas adscritas a la UMF nº 92 durante el 2019,"Lorences Sánchez, Sergio Alan",2020,Especialidad en Medicina (Medicina Familiar)
Factoresderiesgo para el desarrollodeinfecciones asociadas al cuidadodela salud en recien nacidos quirúrgicos,"Lorenzo Hernández, Luis Miguel",2020,Especialidad en Medicina (Neonatología)
Importanciadelas plantas silvestres como organismos centinela en la evaluacióndemuerte celular programada inducida por contaminantes atmosféricos,"Loza Gómez, Paola",2020,Maestría en Ciencias Biológicas
Modulacióndela actividad del generador del ritmo respiratorio por la interleucina-1beta y la activación microglial,"Lorea Hernández, Jonathan Julio Ismael",2020,Doctorado en Ciencias Biológicas
Prevalenciaderetinopatia del prematuro en América Latina y el Caribe :revisión sistemáticadela literatura,"Lorenzo Hernández, Luis Miguel",2020,Especialidad en Medicina (Pediatría)
"Producción científica en unidades multidisciplinariasdela UNAM :estudiodecaso en los centrosdeinvestigacióndeFES Acatlán (PI, UIM) y FES Aragón (CIMA, CT)","Loza Quezada, Omar",2020,Licenciatura en Sociología
El neoliberalismo como catalizador del calentamiento global y las grandes corporaciones transnacionales como controladorasdelas políticas públicas a nivel mundial,"Lortia Escalona, Gustavo",2020,Licenciatura en Geografía
"Análisisdela complementariedad eco-simbiótica a travésdelas redesdeintercambiodelos recursos naturales entre las comunidades nahuas del municipiodeCoyomeapan, Puebla =Eco-symbiotic complementarity analysis through the networks of natural resources exchange between nahuas communities inhabiting mountain regions of Mexico","Lotero Velásquez, Elisa",2020,Maestría en Ciencias Biológicas
Hacia una metodologíadetrabajo,"Lozano Moctezuma, Fernanda Adriana",2020,Licenciatura en Artes Visuales
Regulación metabólicadela biosíntesisdes-adenosilmetionina en un modelodecarcinoma hepatocelular,"Lozano Rosas, María Guadalupe",2020,Doctorado en Bioquímicas
Ventajas y desventajas del disilicatodelitio en la odontología estética,"Lozano Aguilar, Karen Astrid",2020,Licenciatura en Cirujano Dentista
Identificacióndelos cambios óseos significativosdela osteoporosis en mujeres posmenopáusicas a travésdela ortopantomografía,"Lozanodela Luz, María Fernanda",2020,Licenciatura en Cirujano Dentista
"Estudio comparativo in vitro del efecto antimicrobiano, citotóxico y estrés oxidativodefluoroplat, saforide y fagamin","Lozano Garza, Paulina",2020,Especialidad en Odontopediatría
Estudiodecaso a una persona con lesión del plexo braquial izquierdo aplicado a la teoríadeautocuidadodeOrem,"Lozano Galicia, Ana Judith",2020,Especialidad en Enfermería en Rehabilitación
Rompimiento espontáneodela simetría y configuraciones extendidas en un potencial con dos familias continuasdeestados base,"Lozano Mayo, Jonathan",2020,Licenciatura en Física
Las micotoxinas y sus efectos en el ganado bovino lechero,"Lozano Romo, Junuent Alejandra",2020,Licenciatura en Medicina Veterinaria y Zootecnia
Factores protectores asociados a la conducta sexual segura en hombres con y sin VIH,"Lozano Quiroz, María Fernanda",2020,Licenciatura en Psicología
Evaluación del dolor posoperatorio en pacientes sometidos a colecistectomía laparoscópica con diferentes tratamientos analgésicos,"Lozano Sánchez, Marina Marisol",2020,Especialidad en Medicina (Anestesiología)
Prevalenciadesobrepeso y obesidad relacionada con cuidado infantil y sus factores asociados en lactantes y preescolaresde6 a 47 mesesdeedad,"Lua Bernal, Felipe",2020,Especialidad en Medicina (Epidemiología)
"Elevacióndeantígenodecarbohidrato 19-9, en patología benignadela vía biliar","Lucero Vilchis, Jorge",2020,Especialidad en Medicina (Cirugía General)
Diagnósticodelas asimetrías faciales y dentales en ortodoncia,"Lucas Lucas, Karen Yesenia",2020,Licenciatura en Cirujano Dentista
"Renovacióndela ex fábrica textil La Fama Montañesa, Tlalpan, CiudaddeMéxico","Lucero Sánchez, Saúl Alfonso",2020,Licenciatura en Arquitectura
Valoracióndela vacunación contra parvovirus porcino en granjas afectadas previamente a diarrea epidémica porcina,"Luevano Adame, Josédela Luz",2020,Maestría en Cienciasdela Producción ydela Salud Animal
Identidad universitaria en alumnosdela UAO y cómo perciben sus competencias,"Lucia Buendia, Uriel",2020,Licenciatura en Psicología
Instalaciones militares Hotel del Ejercito y Fuerza Aérea Unidad Habitacional Militar LomasdeSotelo CDMX,"Lucio Leyva, Heber André",2020,Licenciatura en Arquitectura
La incompatibilidad del régimendemetasdeinflación con la estrategiadecrecimiento guiado por exportaciones en México: 1994-2018,"Lua Lome, Katia Yaeli",2020,Licenciatura en Economía
"Revisióndetres murosdecontención construidos a basedemampostería, ubicados en el campamento ""El Bambú"", en Taretan, Mich.","Lucatero Bucio, Marlene",2020,Licenciatura en Ingeniería Civil
Preso en libertad :discriminación a personas ex reclusas en la CiudaddeMéxico,"Lozano Vargas, Fernanda Alheli",2020,Licenciatura en Desarrollo y Gestión Interculturales
Historia químicadeuna galaxia enana esferoidal del grupo local :sextans,"Lugo Aranda, Alejandra Zaavik",2020,Maestría en Astrofísica
Esterasas artificiales con complejos metálicosdepiridínoximas y su reactividad frente a ésteres carboxílicos y fosfato,"Lugo González, José Carlos",2020,Doctorado en Ciencias Químicas
"Revisión y análisisdela guía para el sometimiento para protocolodeinvestigación en seres humanos, homoclave COFEPRIS 04-010 A y propuestadesimplificación","Lugo Camacho, Karla Daniela",2020,Licenciatura en Química Farmacéutico Biológica
Augurios :materialismo histórico y arte contemporáneo como una seriedenueve litografías alusivas al tarot como elemento funcional del proceso creativo del artista,"Lugo González, Francisco Jesús",2020,Licenciatura en Artes Visuales
Un análisis filosóficodela concepcióndeguerra humanitariadeMichel Walzer,"Lugo Hernández, Rebeca",2020,Licenciatura en Filosofía
Factores sociodemográficosderiesgodeembarazo en mujeres adolescentesdela UMF 33,"Lugo García, Miguel Ángel",2020,Especialidad en Medicina (Medicina Familiar)
"Relación entre percepcióndeenfermedad, percepción del usodemedicamentos, en adultos con asma y su efecto en la adherencia terapéutica","Lugo González, Isaías Vicente",2020,Doctorado en Psicología
Efectodela relación entre estímulos auditivos y visuales sobre el ajuste conductualdeobservar y escuchar,"Luevano León, Daniela Stephanie",2020,Licenciatura en Psicología
Desarrollodelas marcasdetecnología con presencia global :marketing y sector telecomunicaciones,"Lugo Alfaro, Claudia Marcela",2020,Especialidad en Mercadotecnia
"Caracterizacióndela agrobiodiversidad en las milpas tradicionalesdeTepoztlán, Morelos, México","Lugo Castilla, Sofía Lail",2020,Licenciatura en Biología
Relacióndeomentina 1 con factoresderiesgo para el desarrollodediabetes gestacional,"Luis López, Erubiel Rosendo",2020,Especialidad en Medicina (Ginecología y Obstetricia)
"El dictamen pericial psicológico en casosdedelitos sexuales contra niñas, niños y adolescentes :propuestadeactuación","Luis Arango, Perla Anai",2020,Licenciatura en Psicología
Globalización financiera y la gran empresa en la estructura financiera mexicana,"Luna Cárdenas, Jorge Arturo",2020,Maestría en Economía
Estudio del cambiodelos patronesdeturbulencia en tanques amortiguadores combinados,"Luna Bahena, Juan César",2020,Doctorado en Ingeniería Civil
Protocolodeevaluación psicológica como auxiliar en el diagnósticodedemencias en población geriátrica,"Luiz González, Sandra Karina",2020,Licenciatura en Psicología
Mitología transmedia :símbolos y narrativas en Game of thrones,"Lujambio Valle, Héctor Manuel",2020,Maestría en Comunicación
Efecto del paquete prevent-navv en la neumonía asociada a ventilador del 2014 al 2017 en los pacientesdecuidados intensivos del HIMFG,"Lugo Huerta, Susana",2020,Especialidad en Medicina (Medicina Crítica Pediátrica)
Distribución espectraldeenergíadeuna muestradeblazares observados con el gran telescopio milimétrico,"Luna Cervantes, Jessica",2020,Maestría en Astrofísica
"Conjunto habitacional, vivienda progresiva en Huamantla, Tlaxcala, México","Luna Barrón, Rodrigo",2020,Licenciatura en Arquitectura
18F-PSMA PET,"Lugo Nevarez, Blanca Carolina",2020,Especialidad en Medicina (Imagenología Diagnóstica y Terapéutica)
"La enseñanzadela salud una tarea educativa pragmática que cosifica al universitario, por promotores universitariosdela FES Aragón, UANM, en el contexto neoliberal en México","Luna Gutiérrez, Diana Patricia",2020,Licenciatura en Pedagogía
Repercusióndela estimulación del desarrollo psicológico durante el primer añodevida :caso comparativo,"Luna López, Lizbeth",2020,Licenciatura en Psicología
IdentificacióndegenesdevirulenciadeStreptococcus pyogenes en aislamientos clínicosdeEstreptococos betahemolíticosdeGrupo C y G positivos al gen emm.,"Luna Hernández, Tania Jacqueline",2020,Licenciatura en Bioquímica Diagnóstica
Efectodela laminación en caliente y recocidodeuna aleación Co-20% Cr solidificada rápidamente para aplicaciones biomédicas,"Luna Manuel, Juan Carlos",2020,Licenciatura en Ingeniería Química Metalúrgica
"Modeling, analysis and design of a local resonance acoustic metamaterial (lram) for broadband low-frequency noise insulation in industry","Luna Estrada, César Abraham",2020,Maestría en Ingeniería Mecánica
"Impacto del artículo 303 del TLCAN en el programadefomento a la exportación Industria Manufacturera, Maquiladora ydeserviciosdeExportación (IMMEX)(2001-2016)","Luna González, Leslie Mariana",2020,Licenciatura en Relaciones Internacionales
Participacióndela fosfatasadefosfolípidos 3(PLPP3) en el nicho neurogénicodela zona sub ventricular del cerebroderatón adulto,"Luna Leal, Angélica",2020,Maestría en Ciencias Bioquímicas
Pluralismo :la construccióndelos mundos y sus relaciones prácticas,"Luna Jara, Manuel Eduardo",2020,Licenciatura en Filosofía
La velocidaddesedimentación globular en población estudiantildela FES Iztacala en la detección temprana del síndrome metabólico,"Luna Martínez, José Luis",2020,Licenciatura en Biología
"Aspectos relevantes del sistemadepatentes en México, enfocados a la innovación, las invenciones y patentes farmacéuticas y el impactodelos tratados internacionales","Luna Fandiño, José Alejandro",2020,Doctorado en Derecho
Análisis del perfildeexpresióndemRNAs en cerebroderatas :(Rattus norvergicus) hiperglucémicas,"Luna Rojas, Julio César",2020,Licenciatura en Biología
Prevalenciadedolor crónico postoperatorio asociado a la técnica anestésica en pacientes sometidos a reconstrucción mamaria con cáncerdemama,"Luna Morales, Cinthia Guadalupe",2020,Especialidad en Medicina (Anestesiología)
Estrategiasdeinclusión y trabajo social en instituciones privadas,"Luna Sánchez, Mayren",2020,Licenciatura en Trabajo Social
Caracterización molecular y funcionaldemutantesdeA. thaliana afectadas en la biogénesis del cloroplasto,"Luna Valdez, Luis Albertode",2020,Doctorado en Bioquímicas
La filosofía en Marx y su importancia para el análisisdeEl Capital,"Luna Mojica, Alan Salvador",2020,Licenciatura en Filosofía
Central camioneradeautobuses en Tepotzotlán EstadodeMéxico,"Luna Reséndiz, José Juan",2020,Licenciatura en Arquitectura
Efecto del muestreo en la estimacióndeparámetrosdediversidad genética y genética del paisaje en el teocintle (Zea mays ssp. Parviglumis y Zea mays ssp. Mexicana),"Luna Sánchez, Javier Alejandro",2020,Licenciatura en Biología
"Análisis y propuesta para el desarrollo económico y social del municipio Nonoava, Chihuahua","Luna Olivas, Víctor Manuel",2020,Licenciatura en Economía
"Propuesta didácticadetemas introductorios para la prácticadedisecciones en anatomía humana, dentro del módulodemorfofisiologíadelos sistemas del cuerpo humano","Luna Núñez, Nataly Nictee",2020,Licenciatura en Cirujano Dentista
Cuando los hombres cuidan a sus hijos e hijas :un acercamiento a las dinámicas familiares monoparentales masculinas,"Luna Mosqueda, Giovani",2020,Licenciatura en Trabajo Social
"Manualdeprocedimientos para el serviciodepréstamo interbibliotecario en la biblioteca del TecnológicodeMonterrey, campus EstadodeMéxico","Macedo Ortega, MaríadeLourdes",2020,"Licenciatura en Bibliotecología y Estudiosdela Información,"
"Panoramadela deficienciadeglucosa -6- fosfato deshidrogenasa durante 2017 a 2019, del Hospital General ""Dr. Donato G. Alarcón"",dela SecretariadeSalud Guerrero","Macedo Espinobarros, José Omar",2020,Especialidad en Medicina (Pediatría)
Estudiodesolucionesdeequilibrio tipo Solov´ev en Tokamaks con diversas razonesdeaspecto y sus propiedadesdeestabilidad,"Maceda Ramírez, Omar",2020,Licenciatura en Física
"Erroresdemedicación en las diferentes etapas :prescripción, transcripción, dispensación, preparación y administración a nivel hospitalario","Luviadela Cruz, Dalia Isamar",2020,Licenciatura en Química Farmacéutico Biológica
Mecanismos inmunológicos en enfermedades autoinmunes,"Luyando Mendoza, Diana Karla",2020,Licenciatura en Cirujano Dentista
Variedadesdemaíz rojo con potencial para su uso como maíz palomero,"Macedo González, JosédeJesús",2020,Licenciatura en Ingeniería Agrícola
Crecimiento restringido por el equilibriodela balanzadepagos :China 1994Q1-2018Q4,"Ma, Xujun",2020,Licenciatura en Economía
La saliva como método diagnóstico para la infección congénita o adquirida por toxoplasma gondii,"Macedo Romero, Claudia Astrid",2020,Maestría en Ciencias Odontológicas Clínicas
Angioedema asociado al usodematerial odontológico :caso clínico,"Maceda Patricio, Jorge Luis",2020,Licenciatura en Cirujano Dentista
Ampliar la mirada :un encuentro con las imágenesdecinco fotógrafas en México,"Macedo Macedo, Amanda",2020,Maestría en Comunicación
Caracterización energética del reconocimientodeATP por el dominio catalíticodela enzima oncogénica tirosina-cinasa c-Src humana,"Macías Bucio, Julio César",2020,Licenciatura en Química Farmacéutico Biológica
Implementacióndesistemadeapoyo educativo en una familia nuclear,"Macías Cárdenas, Valeria Zenaida",2020,Especialidad en Enfermería en Salud Pública
Representaciones sociales del perro y su influencia en las prácticasdesu cuidado :un estudio en las alcaldíasdeTláhuac y Benito Juárez en la CiudaddeMéxico,"Macías Balmori, Diana Yocelin",2020,Maestría en Trabajo Social
El impacto familiar en el favorecimientodela autonomía en los niños,"Macías Terán, Lorena",2020,Licenciatura en Psicología
Evaluacióndela respuesta al tratamiento del hipoparatiroidismo postquirúrgico permanente del serviciodeendocrinología del Centro Médico Nacional 20deNoviembre,"Macías Ortega, Mónica Marcela",2020,Especialidad en Medicina (Endocrinología)
"Teatro penitenciario en América Latina : contecimiento, entre espacios y presencias en convivio ante Ricardo IIIdeEl Mago y la CoArtRe","Macías Sánchez, Brenda Margarita",2020,Doctorado en Estudios Latinoamericanos
"DistribucióndeHg, Se y As en tejidosdeGaleus piperatus del norte del GolfodeCalifornia","Machuca Pérez, KarinadeJesús",2020,Maestría en Ciencias del Mar y Limnología
"Discriminación socialdepersonas transgénero y transexual en León, Gto :una mirada con enfoque específico en mujeres trans","Macías Flores, Cristian Rodrigo",2020,Licenciatura en Desarrollo y Gestión Interculturales
Influenciadela señalización redox mediada por H2O2 en la regulacióndelas cinasas Mek1,"Macías López, Arturo",2020,Licenciatura en Bioquímica Diagnóstica
Educación y museos: hacia una evaluación pedagógica del aprendizaje informal :un estudiodecaso en Universum Museodelas Ciencias,"Macías Nestor, Alba Patricia",2020,Maestría en Pedagogía
"Degradacióndeciprofloxacino empleando una menadetitaniodebaja ley, persulfato y luz solar artificial","Macías Vargas, José Alberto",2020,Doctorado en Ingeniería Ambiental
Revisión teórica sobre la evaluación psicológicadela conducta feminicida en universitarios,"Madera Pineda, Evelyn Edith",2020,Licenciatura en Psicología
Centrodeservicios funerarios,"Maciel Hernández, Sully Emoe",2020,Licenciatura en Arquitectura
Efecto Kerr en el modelodeRashba ferromagnético,"Maciel García, Glen Isaac",2020,Licenciatura en Nanotecnología
Modelo espacio-temporal para determinar la evolución del fenómenodehundimiento regional en la zona lacustre del ValledeMéxico,"Madrigal Madrigal, María Clara",2020,Especialidad en Estadística Aplicada
"Accionesdemejora propuestas para reducir la accidentabilidad presentada en el cuerpo ""A""dela autopista federaldecuota Acatzingo-Cd. Mendoza del km 217+500 al km 252+000","Madariaga Rivera, Simón Moisés",2020,Especialidad en Vías Terrestres
Cultura financiera y su relación con las decisionesdefinanciamiento e inversión :CiudaddeMéxico y Querétaro,"Madrid Garnica, Lizbeth Cecilia",2020,Licenciatura en Contaduría
"Producción socialdevivienda :el programadelas Cien mil viviendas, el caso del Valle del Ortigal, Popayán - Colombia","Macuace Otero, Ronald Alejandro",2020,Doctorado en Urbanismo
"Estudiodeinteracción gen-ambiente entre los polimorfismos rs110402 y rs16940665 del gen CRHR1 y la exposición a eventos adversos en la infancia, la agresividad, impulsividad y rasgosdepersonalidad en adultos con intento suicida","Madrigal Lara, María Victoria",2020,Especialidad en Medicina (Psiquiatría)
Prácticas creativas y críticas del videojuego independiente,"Madera Ferragut, Ussiel",2020,Maestría en Diseño y Comunicación Visual
Asociación entre el índicedemasa corporal y el gradodeincapacidad que se genera en los adultos jóvenes con diagnósticodelumbalgiadela UMF No. 33 El Rosario,"Magaña Godina, Marcelino",2020,Especialidad en Medicina (Medicina Familiar)
Estudio demográficode5 años en pacientes con neumonía adquirida en la comunidad con complicaciones pleuropulmonares en el HospitaldePediatria Silvestre Frenk Freund Centro Médico Nacional Siglo XXI,"Magaña Bailon, Jorge",2020,Especialidad en Medicina (Neumología Pediátrica)
La técnica y el estado totalitario una reflexión crítica desde el pensamientodeJacques Ellul,"Magaña García, Jesús Ernesto",2020,Maestría en Filosofía
Terapiadereemplazo renal continua en pacientes en estado crìtico :estudio observacional y descriptivo en un hospital privadodetercer nivel,"Magallanes López, Alberto",2020,Especialidad en Medicina (Medicina Interna)
Estudiodelas interacciones genéticasdelas proteínasdearquitecura dCTCF y Mod(mdg4) con dAdd1 y dXNP en Drosophila melanogaster,"Magaña Acosta, MaurodeJesús",2020,Maestría en Ciencias Bioquímicas
Sobrevida libredeenfermedad en pacientes con linfomadehodgkin y no hodgkin durante el periodo 2015 - 2019,"Magaña Guzmán, Jennifer",2020,Especialidad en Medicina (Pediatría)
Impotencia sexual en pacientes masculinos portadoresdecatéter JJ,"Magaña Espinosa, Abraham Josué",2020,Especialidad en Medicina (Urología)
"Lactancia materna, en la visión del neonatólogo Carlos González Rodríguez","Magaña Espinosa, María Guadalupe",2020,Licenciatura en Enfermería y Obstetricia
Estudio comparativodetratamiento con radioterapia convencional fraccionada y estereotactica en pacientes postoperados con acromegalia para evaluar remisión y complicaciones a largo plazo,"Madrigal Sanromán, Juan Ramón",2020,Especialidad en Medicina (Endocrinología)
"Efectodelos glicolípidos micobacterianos di-o-acil trehalosa, tri-o-acil trehalosa y dimicolatodetrehalosa sobre la funcióndelas células dendríticas","Magallanes Puebla, Alejandro",2020,Doctorado en Bioquímicas
Influenciadeun huerto escolar en la ingestadevegetales en estudiantesdepreescolar,"Maldonado Aragón, Mónica Soledad",2020,Maestría en Psicología
Factoresderiesgo asociados a pérdida recurrentedela gestación,"Malaxechevarría Gutiérrez, Juan Ignacio",2020,Especialidad en Medicina (Biologíadela Reproducción Humana)
Sistemadevideo vigilancia por deteccióndeactividad acústica,"Maillard Quiroz, Yves",2020,Licenciatura en Ingeniería Eléctrica Electrónica
