Título,Autor,Año,Grado
"Trombosis venosa portal, caracterización de una corte retrospectiva en el Centro Médico Nacional 20 de noviembre; en el periodo mayo del 2013 - mayo del 2019","Aguilar Hernández, Jhonatan",2020,Especialidad en Medicina (Gastroenterología)
Comportamiento sísmico de edificios con aisladores de péndulo de fricción en la zona del lago de la Ciudad de México,"Aguilar Hernández, Juan",2020,Maestría en Ingeniería Civil
Correlación entre velocidad de crecimiento y valores de IGF-1 en niños con diabetes mellitus tipo 1 de la consulta de endocrinología pediátrica en un hospital de tercer nivel,"Aguilar Jasso, Diana",2020,Especialidad en Medicina (Endocrinología Pediátrica)
Cincuenta años de historia del Servicio de Nefrología del Hospital de Pediatría del Centro Médico Nacional Siglo XXI del Instituto Mexicano del Seguro Social (1963-2013) y sus contribuciones : la clínica de síndrome nefrótico y el campamento de niños en diálisis peritoneal y hemodiálisis,"Aguilar Kitsu, María Alejandra",2020,Maestría en Humanidades en Salud
"Actividad antiproliferativa, apoptótica y necrótica del sesquiterpeno cacalol en líneas celulares de cáncer cervicouterino","Aguilar Llanos, Erick Fernando",2020,Licenciatura en Biología
"Desarrollo de un modelo farmacocinético poblacional de TMP-SMX en diferentes grupos de edad pediátrica, impacto del estado nutricional","Aguilar López Escalera, Carmen Gabriela",2020,Maestría en Investigación Clínica Experimental en Salud
Circuito cardiovascular para pruebas de válvulas cardiacas,"Aguilar López Escalera, Gabriel Mauricio",2020,Licenciatura en Ingeniería Mecatrónica
Determinación del efecto de citocalasina D sobre el ciclo del Herpesvirus Bovino tipo 1 en células VERO,"Aguilar López, Itzel Guadalupe",2020,Licenciatura en Medicina Veterinaria y Zootecnia
Efecto del escaldado incorporando nanoemulsiones de aceite esencial de mandarina sobre la actividad enzimática y calidad de camote (Ipomoea Batatas),"Aguilar López, Noemí Montserrat",2020,Licenciatura en Ingeniería en Alimentos
"Estudio de factibilidad financiera para la construcción de un condominio vertical utilizando contenedores marítimos en la Alcaldía Benito Juárez, Ciudad de México","Aguilar Lucas, Moisés Aarón",2020,Licenciatura en Economía
Experiencia en fracturas diafisiarias de tibia tratadas con clavo centromedular bloqueado en el Hospital General Dr. Miguel Silva de enero del 2015 a enero del 2019,"Aguilar Luna, Carlos Omar",2020,Especialidad en Medicina (Ortopedia)
Caracterización de la variabilidad temporal de la respuesta SOS en células individuales de Escherichia coli en presencia de antibióticos beta-lactámicos,"Aguilar Luviano, Oscar Bruno",2020,Maestría en Ciencias Bioquímicas
Evaluación de la expresión del receptor NKG2D en células T,"Aguilar Melgar, Ashanti Edith",2020,Especialidad en Medicina (Biología de la Reproducción Humana)
Recuperación funcional con la técnica de triple transposición tendinosa del tibial posterior en el paciente con pie caído secundario a lesión del nervio ciático poplíteo externo,"Aguilar Méndez, Carlos Luis",2020,Especialidad en Medicina (Ortopedia)
Utilidad de la cánula nasal de alto flujo en pacientes pediátricos con insuficiencia respiratoria en el servicio de urgencias del Hospital Infantil de México Federico Gómez,"Aguilar Nava, María Rosario",2020,Especialidad en Medicina (Urgencias Pediátricas)
"Neuropedagogía, conjuntando las neurociencias con la pedagogía","Aguilar Navarro, Alejandra Susana",2020,Licenciatura en Pedagogía
El efecto del envejecimiento en la composición del microambiente hematopoyético en médula ósea normal,"Aguilar Navarro, Alicia Guadalupe",2020,Doctorado en Ciencias Biomédicas
Teoremas de no pelo en teorías de gravitación escalar-tensorial,"Aguilar Nieto, Alejandro",2020,Licenciatura en Física
La corteza premotora proyecta preferentemente sobre las neuronas de la vía estriatonigral de los ganglios basales,"Aguilar Palomares, José Antonio",2020,Licenciatura en Psicología
Lineamientos de la contabilidad gubernamental aplicables al capítulo 1000 (sueldos y salarios) del municipio de Cuautitlán Izcalli,"Aguilar Pérez, Ana Karen",2020,Licenciatura en Contaduría
Intervención de enfermería en pacientes con depresión posparto en la perspectiva de Marjory Gordon,"Aguilar Pérez, Mariana",2020,Licenciatura en Enfermería y Obstetricia
Uso de terapia de presión negativa de un solo uso en la prevención de infección de herida quirúrgica en pacientes operados de apendicitis aguda por abordaje abierto,"Aguilar Preciado, Irving Hugo",2020,Especialidad en Medicina (Cirugía General)
"Manejo y cuidado de enfermería a los pacientes hospitalizados con dolor crónico y agudo, en la perspectiva de Margaret Jean Harman Watson","Aguilar Rico, María Guadalupe",2020,Licenciatura en Enfermería y Obstetricia
Entre la tradición y la ilustración : las prácticas de educación femenina en el Colegio de San Ignacio de Loyola y su dimensión hispanoamericana (1732-1821),"Aguilar Robledo, Michelle Desireé",2020,Licenciatura en Estudios Latinoamericanos
"Ley para regular las instituciones de tecnología financiera. retos, entorno y perspectivas","Aguilar Rubio, Brenda Michel",2020,Licenciatura en Derecho
Alteraciones de la autofluorescencia en pacientes diabéticos,"Aguilar Ruiz, Aideé Jimena",2020,Especialidad en Medicina (Oftalmología)
Documentos para la biografía de José Palomar : un comerciante e industrial jalisciense en la ciencia mexicana del Siglo XIX,"Aguilar Sánchez, Alan Ulises",2020,Licenciatura en Historia
Los pensamientos de rumiación como detonantes de episodios de migraña,"Aguilar Sánchez, Amada",2020,Licenciatura en Psicología
Principios básicos de prótesis dental parcial removible para su diseño y comprensión en sistema CAD-CAM,"Aguilar Sánchez, Daniela Elizabeth",2020,Licenciatura en Cirujano Dentista
Evaluación de los movimientos generales de Prechtl en la trayectoria del desarrollo individual de niños con riesgo neurológico : estudio piloto multicéntrico,"Aguilar Sánchez, Ernesto Javier",2020,Especialidad en Medicina (Medicina de Rehabilitación)
Un paternalista al mando : cartas de estudiantes al presidente Luis Echeverría 1970-1976,"Aguilar Sánchez, Joaquín",2020,Licenciatura en Historia
Sistema de almacenamiento para el laboratorio nacional de observación de la tierra,"Aguilar Sierra, Alejandro",2020,Especialidad en Computo de Alto Rendimiento
