Título,Autor,Año,Grado
Simulación numéricadeun propulsordeefecto hall para un microsatélite,"Alonso Bastos, Daniel Alejandro",2021,Licenciatura en Ingeniería Mecánica
"""Factores asociados a mortalidad en pacientes críticamente enfermos por COVID 19""","Alonso Beltrán, Jocelyn Sue",2021,Especialidad en Medicina Crítica
Factores asociados a la disfunción familiar en las diferentes categorias laboralesdeun hospitaldesub-zona,"Almendra Cid, Celia Elvira",2021,Especialidad en Medicina (Medicina Familiar)
El procesodeduelo en la pandemia por covid-19,"Almendarez Ramírez, Martha",2021,Licenciatura en Psicología
Metástasis cutáneas diagnosticadas en el departamentodedermatopatología del Hospital General Dr. Manuel Gea González desde 1985 al 2020,"AlonsodeLeón, María Teresa",2021,Especialidad en Medicina (Dermatología)
Manifestaciones orales ocasionadas por la carenciadenutrientes,"Alonso Balderas, Sofía Natalia",2021,Licenciatura en Cirujano Dentista
Derechos humanos e inclusión social :la migración marroquí en Alemania (2015-2018),"Almonte Dorantes, Ana Karen",2021,Licenciatura en Relaciones Internacionales
"Metales pesados en hortalizas cultivadas en azoteasdela ciudaddeMéxico, México","Alonso Duran, Ivonne",2021,Licenciatura en Biología
Trastornodeansiedad en el paciente oncológico pediátrico,"Alonso del Hoyo, María Isabel",2021,Especialidad en Medicina (Pediatría)
Evaluacióndela colección hemerográficadela Biblioteca Manuel Sandoval Vallarta del Museo Universitariodelas Ciencias UNIVERSUMdela UNAM,"Alonso Amaya, Jennifer Aline",2021,Licenciatura en Bibliotecología y Estudiosdela Información
"Rasgosdedomesticación en variedadesdechile :(C. annuum L.) asociados a condiciones ambientales y socioeconómicas en el estadodeOaxaca, México","Alonso Fernández, Cristina",2021,Maestría en Geografía
Estado nutricional actualdepacientes con antecedentedederivación intestinal y cierredela misma realizado en el Hospital RegionaldeAlta Especialidad del Niño Dr. Rodolfo Nieto Padrón durante el periodo 2019-2020,"Alonso Manríquez, Olga Delia",2021,Especialidad en Medicina (Cirugía Pediátrica)
Comparación del rendimientodeescalas pronósticasdemortalidad en pacientes hospitalizados en medicina interna,"Alonso Martínez, Luis Enrique",2021,Especialidad en Medicina (Medicina Interna)
Cumplimiento del esquema nacionaldevacunación en pacientes pediátricos al diagnósticodecáncer,"Alonso Narváez, Adriana",2021,Especialidad en Medicina (Pediatría)
Funcionalidad familiar en pacientes con insuficiencia renal en terapia sustitutivadela UnidaddeMedicina Familiar no. 61,"Alonso González, Claudia",2021,Especialidad en Medicina (Medicina Familiar)
